task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Step #162,2026-02-21T19:54:40,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.25182164181023836,1.4794085841703802e-07,5.874394959153121e-07,360.0,167.46801581414357,10.0,2.5166842993348815e-05,1.1707787145098791e-05,6.990347756072812e-07,3.7573664914055185e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #163,2026-02-21T19:54:40,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.26100380904972553,1.521786335209675e-07,5.831761815659429e-07,360.0,186.47432084567382,10.0,2.5003516208380733e-05,1.295195480821576e-05,6.944938692160751e-07,3.864996488581272e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #164,2026-02-21T19:54:40,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.2776284543797374,1.543387804708487e-07,5.559783108366928e-07,360.0,160.9112889255088,10.0,2.657948061823845e-05,1.188084283754165e-05,7.382703789820264e-07,3.919859383476245e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #165,2026-02-21T19:54:41,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.27783024683594704,1.608852923752136e-07,5.792789582108303e-07,360.0,184.80290817010854,10.0,2.6513697486370454e-05,1.3611122000156683e-05,7.364417633248696e-07,4.0861261249852156e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #166,2026-02-21T19:54:41,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.276119701564312,1.6032566186337369e-07,5.807644589267054e-07,360.0,182.35895086619314,10.0,2.6538377907127028e-05,1.3443621867281763e-05,7.371278583175511e-07,4.071912763272626e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #167,2026-02-21T19:54:41,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.27673048060387373,1.598232615878681e-07,5.776215911448247e-07,360.0,178.52432647803826,10.0,2.6640174444764707e-05,1.3211399451762418e-05,7.399553174360053e-07,4.0591529213962994e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #168,2026-02-21T19:54:42,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.27908337861299515,1.6051638975711155e-07,5.753129490482084e-07,360.0,179.9730283256634,10.0,2.668523928150545e-05,1.3341121789522958e-05,7.412071753707295e-07,4.07675682463993e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #169,2026-02-21T19:54:42,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.25442552473396063,1.4535499961783286e-07,5.71420025580533e-07,360.0,150.81613159743375,10.0,2.55175726488234e-05,1.0690564106852207e-05,7.087779334849715e-07,3.6916914689160904e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #170,2026-02-21T19:54:42,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.2562567638233304,1.5988766416882646e-07,6.239253866978376e-07,360.0,202.0533739594517,10.0,2.5554730184376186e-05,1.4343344808764869e-05,7.09811034094968e-07,4.060788602723575e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Step #171,2026-02-21T19:54:42,energy-efficiency,6b77921a-fd23-42d9-bcad-d791fb4b7740,0.2587537132203579,1.4799595065771688e-07,5.719619921331245e-07,360.0,154.4811280493077,10.0,2.5799644086509782e-05,1.1071397743478428e-05,7.16615279412107e-07,3.758765710940026e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
