step_ms,forward_ms,backward_ms,optimizer_ms,gpu_mem_alloc_MB,gpu_mem_reserved_MB,gpu_mem_max_MB,proc_cpu_percent,sys_cpu_percent,ram_used_MB,ram_percent
237.808539,64.346954,116.460026,56.372198,5070.91455078125,7974.0,7309.55615234375,100.4,0.5,14324.0546875,2.8
235.069586,64.04193,113.889996,56.196596,5070.91455078125,7974.0,7309.55615234375,101.6,0.5,14324.0546875,2.8
239.289942,65.853298,116.137591,56.670123,5070.91455078125,7974.0,7309.55615234375,99.8,0.5,14324.30078125,2.8
241.863913,66.515839,117.735236,56.987478,5070.91455078125,7974.0,7309.55615234375,98.7,0.5,14324.30078125,2.8
239.328453,65.854668,116.346964,56.508301,5070.91455078125,7974.0,7309.55615234375,99.7,0.5,14324.30078125,2.8
240.45608,65.467662,117.696586,56.661213,5070.91455078125,7974.0,7309.55615234375,103.4,0.5,14324.30078125,2.8
239.323473,65.771117,116.331634,56.602682,5070.91455078125,7974.0,7309.55615234375,99.8,0.5,14324.546875,2.8
239.028828,64.230012,117.606854,56.567782,5070.91455078125,7974.0,7309.55615234375,99.9,0.5,14324.546875,2.8
234.216522,63.474711,113.649322,56.464699,5070.91455078125,7974.0,7309.55615234375,97.7,0.6,14324.546875,2.8
239.449265,65.921649,116.202441,56.691183,5070.91455078125,7974.0,7309.55615234375,99.7,0.5,14324.546875,2.8
242.395401,67.074047,118.054471,56.614733,5070.91455078125,7974.0,7309.55615234375,98.5,0.5,14324.54296875,2.8
239.283112,65.640835,116.438415,56.51325,5070.91455078125,7974.0,7309.55615234375,103.9,0.5,14324.54296875,2.8
241.166941,66.265584,117.559403,56.704143,5070.91455078125,7974.0,7309.55615234375,99.0,0.5,14324.54296875,2.8
239.552716,66.217224,116.311344,56.401929,5070.91455078125,7974.0,7309.55615234375,99.7,0.5,14324.54296875,2.8
240.690015,65.37183,118.261784,56.43578,5070.91455078125,7974.0,7309.55615234375,99.2,0.5,14324.7890625,2.8
234.419375,63.310807,114.012868,56.469591,5070.91455078125,7974.0,7309.55615234375,101.8,0.5,14324.7890625,2.8
