timestamp_perf_counter_sec,elapsed_sec,step,cpu_util_percent,process_cpu_util_percent,gpu_util_percent,gpu_mem_used_mb,gpu_power_w,gpu_energy_mj
11004612.33315913,138.3738494347781,90,0.5,101.6,100.0,13065.25,236.676,194710797444.0
11004612.835328812,138.87601911649108,91,0.5,99.5,99.0,13065.25,232.909,194710931616.0
11004613.337770516,139.3784608207643,91,0.5,99.5,99.0,13065.25,232.246,194711049698.0
11004613.839886997,139.88057730160654,91,0.5,101.6,100.0,13065.25,236.157,194711168124.0
11004614.345994124,140.38668442890048,92,0.5,100.7,100.0,13065.25,232.728,194711279168.0
11004614.848765124,140.889455428347,92,0.5,101.4,99.0,13065.25,232.366,194711395497.0
11004615.351092836,141.39178314059973,92,0.6,101.5,100.0,13065.25,236.722,194711511908.0
11004615.853381438,141.89407174289227,93,0.5,99.5,98.0,13065.25,233.126,194711623006.0
11004616.355640491,142.39633079618216,93,0.5,99.5,99.0,13065.25,233.431,194711736755.0
11004616.857904052,142.8985943570733,93,0.5,101.5,100.0,13065.25,236.904,194711850838.0
11004617.36469856,143.4053888656199,94,0.5,100.6,99.0,13065.25,232.501,194711962387.0
11004617.867474968,143.90816527232528,94,0.5,101.4,99.0,13065.25,231.622,194712078343.0
11004618.36978334,144.41047364473343,94,0.6,99.5,100.0,13065.25,236.06,194712193570.0
11004618.872141631,144.91283193603158,95,0.5,101.6,98.0,13065.25,234.754,194712304587.0
11004619.374254905,145.41494520939887,95,0.5,99.6,99.0,13065.25,234.614,194712419177.0
11004619.876524735,145.9172150399536,95,0.5,99.5,99.0,13065.25,239.329,194712533458.0
11004620.383787937,146.4244782421738,96,0.5,102.5,98.0,13065.25,233.877,194712646236.0
11004620.88689692,146.92758722417057,96,0.5,99.4,99.0,13065.25,232.939,194712761917.0
11004621.389124382,147.42981468699872,96,0.5,101.5,100.0,13065.25,237.089,194712877952.0
11004621.891352223,147.93204252794385,97,0.5,101.6,99.0,13065.25,234.235,194712991413.0
