timestamp_perf_counter_sec,elapsed_sec,step,cpu_util_percent,process_cpu_util_percent,gpu_util_percent,gpu_mem_used_mb,gpu_power_w,gpu_energy_mj
11419117.409389362,60.94515675865114,83,0.6,101.5,99.0,19349.25,231.601,144160156324.0
11419117.911854474,61.44762187078595,84,0.6,101.5,100.0,19349.25,233.531,144160271571.0
11419118.41393935,61.94970674626529,85,0.6,101.5,100.0,19349.25,233.113,144160385173.0
11419118.916181779,62.451949175447226,86,0.6,99.6,100.0,19349.25,231.954,144160495216.0
11419119.418265864,62.95403326116502,86,0.9,99.5,100.0,19349.25,233.639,144160609978.0
11419119.925673181,63.461440578103065,87,1.1,102.5,99.0,19349.25,229.186,144160725228.0
11419120.429002028,63.96476942487061,88,1.1,99.4,98.0,19349.25,231.032,144160838023.0
11419120.931091804,64.46685920096934,88,1.0,101.6,100.0,19349.25,233.201,144160952463.0
11419121.433164,64.96893139742315,89,1.1,99.6,99.0,19349.25,230.128,144161063905.0
11419121.938217217,65.47398461401463,90,1.1,101.0,99.0,19349.25,231.367,144161176613.0
11419122.44522868,65.98099607601762,90,1.1,100.6,100.0,19349.25,232.133,144161291650.0
11419122.947848434,66.48361583054066,91,1.0,101.5,100.0,19349.25,234.337,144161406923.0
11419123.450009352,66.98577674850821,92,1.1,101.6,98.0,19349.25,231.641,144161518466.0
11419123.952041185,67.48780858144164,92,1.0,99.6,100.0,19349.25,233.682,144161633831.0
11419124.45410286,67.98987025767565,93,1.1,99.6,100.0,19349.25,233.602,144161745324.0
11419124.956185296,68.49195269308984,94,1.1,101.5,98.0,19349.25,230.99,144161858643.0
11419125.458605535,68.99437293224037,95,1.1,99.5,99.0,19349.25,233.723,144161973929.0
11419125.964356128,69.50012352503836,95,1.1,100.8,100.0,19349.25,235.259,144162088451.0
11419126.466969581,70.00273697823286,96,1.1,103.4,100.0,19349.25,232.789,144162201057.0
11419126.969164507,70.50493190437555,97,1.1,97.6,100.0,19349.25,229.49,144162311568.0
11419127.472452447,71.00821984373033,97,1.1,101.3,100.0,19349.25,231.849,144162425148.0
11419127.97446322,71.5102306175977,98,1.0,101.6,99.0,19349.25,232.707,144162561130.0
11419128.476541704,72.01230910047889,99,1.1,99.6,98.0,19349.25,230.902,144162675755.0
11419128.983355211,72.519122608006,99,1.1,100.6,100.0,19349.25,234.618,144162792806.0
11419129.486253925,73.02202132157981,100,1.1,101.4,100.0,19349.25,236.047,144162906892.0
11419129.988347989,73.52411538548768,101,1.0,101.6,99.0,19349.25,232.388,144163020993.0
11419130.490388583,74.02615598030388,101,1.0,97.6,100.0,19349.25,232.416,144163134754.0
11419130.99252787,74.52829526737332,102,1.1,101.6,100.0,19349.25,232.819,144163247429.0
11419131.494520234,75.03028763085604,103,1.0,99.6,98.0,19349.25,231.391,144163358011.0
11419131.996556219,75.5323236156255,104,1.0,101.6,99.0,19349.25,230.134,144163465986.0
11419132.505740978,76.04150837473571,104,1.1,102.1,100.0,19349.25,233.538,144163581893.0
11419133.007768933,76.54353632964194,105,0.8,101.5,100.0,19349.25,232.016,144163697045.0
11419133.51003628,77.04580367729068,106,0.6,97.6,99.0,19349.25,232.534,144163808576.0
11419134.012386931,77.54815432801843,106,0.6,103.5,100.0,19349.25,232.583,144163921444.0
11419134.514433336,78.05020073242486,107,0.6,99.6,100.0,19349.25,229.106,144164030762.0
11419135.022011189,78.55777858570218,108,0.6,102.4,98.0,19349.25,231.011,144164145525.0
11419135.524672924,79.0604403205216,108,0.6,99.5,100.0,19349.25,233.05,144164260018.0
11419136.026714047,79.56248144432902,109,0.6,99.6,100.0,19349.25,233.344,144164372986.0
11419136.528869675,80.06463707238436,110,0.6,101.6,98.0,19349.25,233.073,144164486018.0
11419137.031107605,80.56687500141561,110,0.6,99.6,100.0,19349.25,234.597,144164600191.0
11419137.5331838,81.06895119696856,111,0.6,99.6,100.0,19349.25,235.095,144164711867.0
11419138.040108928,81.57587632536888,112,0.6,104.5,99.0,19349.25,230.075,144164826865.0
11419138.54361436,82.07938175648451,113,0.6,99.3,100.0,19349.25,233.52,144164944575.0
